transaction_id,store_id,timestamp,amount,lane_id
TXN_104338647,ST1008,2026-04-10T12:15:05+05:30,1247.98,LANE_1
TXN_104341290,ST1008,2026-04-10T12:42:18+05:30,8243.23,LANE_1
TXN_104346717,ST1008,2026-04-10T13:41:55+05:30,198.0,LANE_1
TXN_104347785,ST1008,2026-04-10T13:55:16+05:30,199.0,LANE_1
TXN_104350137,ST1008,2026-04-10T14:23:21+05:30,225.0,LANE_1
TXN_104353598,ST1008,2026-04-10T15:02:20+05:30,814.98,LANE_1
TXN_104357849,ST1008,2026-04-10T15:46:39+05:30,599.0,LANE_1
TXN_104358212,ST1008,2026-04-10T15:50:44+05:30,400.0,LANE_1
TXN_104359750,ST1008,2026-04-10T16:08:03+05:30,799.0,LANE_1
TXN_104362899,ST1008,2026-04-10T16:45:32+05:30,3076.98,LANE_1
TXN_104363838,ST1008,2026-04-10T16:55:36+05:30,2048.9700000000003,LANE_1
TXN_104368521,ST1008,2026-04-10T17:44:44+05:30,299.0,LANE_1
TXN_104369411,ST1008,2026-04-10T17:55:02+05:30,1495.98,LANE_1
TXN_104369867,ST1008,2026-04-10T18:00:18+05:30,149.0,LANE_1
TXN_104370397,ST1008,2026-04-10T18:07:14+05:30,693.0,LANE_1
TXN_104373042,ST1008,2026-04-10T18:41:51+05:30,2064.07,LANE_1
TXN_104375288,ST1008,2026-04-10T19:02:09+05:30,2295.96,LANE_1
TXN_104377545,ST1008,2026-04-10T19:21:55+05:30,3467.18,LANE_1
TXN_104378732,ST1008,2026-04-10T19:33:52+05:30,1113.0,LANE_1
TXN_104379480,ST1008,2026-04-10T19:41:29+05:30,1953.0,LANE_1
TXN_104380754,ST1008,2026-04-10T19:54:02+05:30,1354.79,LANE_1
TXN_104383803,ST1008,2026-04-10T20:25:04+05:30,897.99,LANE_1
TXN_104389493,ST1008,2026-04-10T21:16:15+05:30,269.1,LANE_1
TXN_104391745,ST1008,2026-04-10T21:39:55+05:30,427.5,LANE_1
